Exchange Name,Trade Volume 24H,Average Liquidity,Weekly Visit,Num of Markets,Num of Coins
Binance,13777225507,853,10650815,1679,425,https://coinmarketcap.com/exchanges/binance/
Coinbase Exchange,1700908328,745,33921,406,258,https://coinmarketcap.com/exchanges/coinbase-exchange/
Bybit,4075020665,606,4547879,1008,662,https://coinmarketcap.com/exchanges/bybit/
OKX,2244282974,608,4082687,724,310,https://coinmarketcap.com/exchanges/okx/
Upbit,1867513461,514,1032611,369,215,https://coinmarketcap.com/exchanges/upbit/
HTX,1527990214,394,1704605,867,727,https://coinmarketcap.com/exchanges/htx/
Kraken,690173938,747,831350,956,330,https://coinmarketcap.com/exchanges/kraken/
Gate.io,1563333869,541,4936579,3861,2305,https://coinmarketcap.com/exchanges/gate-io/
Bitfinex,155721487,522,108629,381,180,https://coinmarketcap.com/exchanges/bitfinex/
KuCoin,669685135,564,1461798,1286,804,https://coinmarketcap.com/exchanges/kucoin/
MEXC,1588619424,629,4519426,3058,2510,https://coinmarketcap.com/exchanges/mexc/
Bitget,1594495707,534,4396701,1170,855,https://coinmarketcap.com/exchanges/bitget/
Crypto.com Exchange,4801054436,609,524390,719,366,https://coinmarketcap.com/exchanges/crypto-com-exchange/
Binance TR,313829451,309,133620,239,212,https://coinmarketcap.com/exchanges/binance-tr/
BingX,312164425,453,1128411,1103,845,https://coinmarketcap.com/exchanges/bingx/
BitMart,719273663,496,3164617,873,820,https://coinmarketcap.com/exchanges/bitmart/
Bitstamp,191038233,591,150643,209,99,https://coinmarketcap.com/exchanges/bitstamp/
Bithumb,691145802,377,583884,306,299,https://coinmarketcap.com/exchanges/bithumb/
LBank,1597920085,606,2561718,897,699,https://coinmarketcap.com/exchanges/lbank/
Gemini,50141792,647,155638,106,74,https://coinmarketcap.com/exchanges/gemini/
Tokocrypto,14535451,548,100991,439,356,https://coinmarketcap.com/exchanges/tokocrypto/
bitFlyer,63787137,597,430359,14,10,https://coinmarketcap.com/exchanges/bitflyer/
Binance.US,9674913,494,223018,165,151,https://coinmarketcap.com/exchanges/binance-us/
XT.COM,961890706,523,1711382,1214,881,https://coinmarketcap.com/exchanges/xt/
Deepcoin,1035705197,474,984445,206,163,https://coinmarketcap.com/exchanges/deepcoin/
Biconomy.com,594501588,612,2217524,204,201,https://coinmarketcap.com/exchanges/biconomy/
UZX,496222386,610,849593,182,156,https://coinmarketcap.com/exchanges/uzx/
AscendEX (BitMax),916553354,551,1024003,582,483,https://coinmarketcap.com/exchanges/ascendex/
ProBit Global,291493481,405,155258,656,529,https://coinmarketcap.com/exchanges/probit-exchange/
Bitvavo,272683909,550,268485,326,317,https://coinmarketcap.com/exchanges/bitvavo/
KCEX,3103457409,734,1124076,840,558,https://coinmarketcap.com/exchanges/kcex/
CoinW,1401597132,719,2576525,471,386,https://coinmarketcap.com/exchanges/coinw/
Toobit,1472923381,731,1475497,436,309,https://coinmarketcap.com/exchanges/toobit/
FameEX,1074521851,736,1410575,228,191,https://coinmarketcap.com/exchanges/fameex/
P2B,1494056662,674,2238621,170,126,https://coinmarketcap.com/exchanges/p2b/
Pionex,1098552728,760,478113,587,363,https://coinmarketcap.com/exchanges/pionex/
BVOX,1361581591,686,1475424,166,126,https://coinmarketcap.com/exchanges/bvox/
Ourbit,2199206404,657,1092006,742,452,https://coinmarketcap.com/exchanges/ourbit/
Hotcoin,1195434885,665,1512402,537,426,https://coinmarketcap.com/exchanges/hotcoin-global/
OrangeX,1221190731,664,1374562,443,346,https://coinmarketcap.com/exchanges/orangex/
Tapbit,860564313,677,1498593,458,356,https://coinmarketcap.com/exchanges/tapbit/
Hibt,1347040695,640,1266684,665,536,https://coinmarketcap.com/exchanges/hibt/
WEEX,1465141917,619,1127663,893,531,https://coinmarketcap.com/exchanges/weex/
BiFinance,1435400133,688,207978,105,106,https://coinmarketcap.com/exchanges/bifinance-exchange/
DigiFinex,1449896056,546,3498540,488,407,https://coinmarketcap.com/exchanges/digifinex/
LATOKEN,498037220,642,1340449,473,428,https://coinmarketcap.com/exchanges/latoken/
Bitunix,438748392,641,1436755,454,319,https://coinmarketcap.com/exchanges/bitunix/
WhiteBIT,2446768799,453,5492256,563,293,https://coinmarketcap.com/exchanges/whitebit/
HashKey Global,68379078,672,403762,69,57,https://coinmarketcap.com/exchanges/hashkey-global/
Coinstore,302496370,563,703430,174,170,https://coinmarketcap.com/exchanges/coinstore/
Bitrue,3226518195,550,270244,1141,706,https://coinmarketcap.com/exchanges/bitrue/
Coincheck,63104054,639,256037,1,2,https://coinmarketcap.com/exchanges/coincheck/
Azbit,360851839,592,1056307,138,106,https://coinmarketcap.com/exchanges/azbit/
Zaif,815659,442,243511,25,20,https://coinmarketcap.com/exchanges/zaif/
Phemex,124018850,481,147258,614,371,https://coinmarketcap.com/exchanges/phemex/
Coinone,39407450,441,131308,267,268,https://coinmarketcap.com/exchanges/coinone/
Dex-Trade,152425998,529,446356,172,103,https://coinmarketcap.com/exchanges/dex-trade/
Binance TH,14458830,465,25638,308,298,https://coinmarketcap.com/exchanges/binance-th/
BigONE,418255465,497,1522458,128,119,https://coinmarketcap.com/exchanges/bigone/
Fastex,639652757,474,556542,50,29,https://coinmarketcap.com/exchanges/fastex/
Bitbank,32394588,568,119521,52,39,https://coinmarketcap.com/exchanges/bitbank/
Bitkub,48994532,452,357224,140,142,https://coinmarketcap.com/exchanges/bitkub/
Bitso,30406874,453,134134,93,58,https://coinmarketcap.com/exchanges/bitso/
PointPay,104877391,527,355211,174,128,https://coinmarketcap.com/exchanges/pointpay/
C-Patex,75042243,458,173178,11,11,https://coinmarketcap.com/exchanges/c-patex/
Luno,7882551,479,146128,25,13,https://coinmarketcap.com/exchanges/luno/
Slex Exchange,106666653,521,484256,57,44,https://coinmarketcap.com/exchanges/slex-exchange/
HashKey Exchange,28192607,524,26588,32,26,https://coinmarketcap.com/exchanges/hashkey-exchange/
BitMEX,201897,313,99181,148,80,https://coinmarketcap.com/exchanges/bitmex/
BtcTurk | Kripto,207920506,354,55469,247,126,https://coinmarketcap.com/exchanges/btcturk-kripto/
CoinEx,169709399,477,382554,1410,1115,https://coinmarketcap.com/exchanges/coinex/
BTSE,141051287,489,238903,301,218,https://coinmarketcap.com/exchanges/btse/
Coinlist Pro,314708,379,5572,89,65,https://coinmarketcap.com/exchanges/coinlist-pro/
Aibit,267262613,466,188832,130,66,https://coinmarketcap.com/exchanges/aibit/
MAX Exchange,17665458,588,43914,50,30,https://coinmarketcap.com/exchanges/max-exchange/
Indodax,15403424,410,428781,402,392,https://coinmarketcap.com/exchanges/indodax/
BitoPro,55602157,453,46803,30,25,https://coinmarketcap.com/exchanges/bitopro/
Paribu,125363518,370,241424,171,163,https://coinmarketcap.com/exchanges/paribu/
Mercado Bitcoin,6385263,514,175324,25,26,https://coinmarketcap.com/exchanges/mercado-bitcoin/
CEX.IO,4721510,521,137406,462,171,https://coinmarketcap.com/exchanges/cex-io/
BloFin,1060911769,381,125554,586,396,https://coinmarketcap.com/exchanges/blofin/
Bit2Me,399448942,451,37338,228,199,https://coinmarketcap.com/exchanges/bit2me/
Independent Reserve,8621087,469,28884,104,34,https://coinmarketcap.com/exchanges/independent-reserve/
BTC Markets,8469020,463,64455,39,34,https://coinmarketcap.com/exchanges/btc-markets/
BITmarkets,297434782,428,48670,655,215,https://coinmarketcap.com/exchanges/bitmarkets/
Foxbit,5575295,478,18481,93,91,https://coinmarketcap.com/exchanges/foxbit/
KoinBX,21240807,,25948,189,110,https://coinmarketcap.com/exchanges/koinbx/
3EX,430206274,391,71801,57,49,https://coinmarketcap.com/exchanges/3ex/
Korbit,16056517,346,11904,163,164,https://coinmarketcap.com/exchanges/korbit/
